aggregated_crossings_id,barrier_id,internal_name,crossing_source,crossing_feature_type,crossing_type_code,barrier_status,transport_line_structured_name_1,rail_track_name,blue_line_key,watercourse_name,road_name,structure_type,structure_owner,private_owner_details,structure_list_status,assessment_type_completed,reason_for_exclusion,method_of_exclusion,partial_passability,partial_passability_notes,upstream_habitat_quality,constructability,estimated_cost_$,priority,type_of_rehabilitation,rehabilitated_by,rehabilitated_date,estimated_rehabilitation_cost_$,actual_project_cost_$,next_steps,timeline_for_next_steps,lead_for_next_steps,others_involved_in_next_steps,reason,notes,supporting_links,modelled_crossing_id,pscis_status,crossing_subtype_code,pscis_road_name,pscis_stream_name,pscis_assessment_comment,pscis_assessment_date,dam_name,dam_height,dam_owner,dam_use,dam_operating_status,utm_zone,utm_easting,utm_northing,downstream_route_measure,wscode,localcode,watershed_group_code,gnis_stream_name,barriers_anthropogenic_dnstr,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_habitat_wcrp_upstr,barriers_anthropogenic_habitat_wcrp_upstr_count,barriers_ch_cm_co_pk_sk_dnstr,barriers_st_dnstr,barriers_wct_dnstr,ch_spawningrearing_km,ch_spawningrearing_belowupstrbarriers_km,sk_spawningrearing_km,sk_spawningrearing_belowupstrbarriers_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,ch_spawningrearing_set_id,ch_spawningrearing_total_hab_gain_set,ch_spawningrearing_num_barriers_set,ch_spawningrearing_avg_gain_per_barrier,ch_spawningrearing_dnstr_set_ids,ch_spawningrearing_rank_avg_gain_per_barrier,ch_spawningrearing_rank_avg_gain_tiered,ch_spawningrearing_rank_total_upstr_hab,ch_spawningrearing_rank_combined,ch_spawningrearing_tier_combined,sk_spawningrearing_set_id,sk_spawningrearing_total_hab_gain_set,sk_spawningrearing_num_barriers_set,sk_spawningrearing_avg_gain_per_barrier,sk_spawningrearing_dnstr_set_ids,sk_spawningrearing_rank_avg_gain_per_barrier,sk_spawningrearing_rank_avg_gain_tiered,sk_spawningrearing_rank_total_upstr_hab,sk_spawningrearing_rank_combined,sk_spawningrearing_tier_combined,all_spawningrearing_set_id,all_spawningrearing_total_hab_gain_set,all_spawningrearing_num_barriers_set,all_spawningrearing_avg_gain_per_barrier,all_spawningrearing_dnstr_set_ids,all_spawningrearing_rank_avg_gain_per_barrier,all_spawningrearing_rank_avg_gain_tiered,all_spawningrearing_rank_total_upstr_hab,all_spawningrearing_rank_combined,all_spawningrearing_tier_combined,label_in_wcrp
1024723382,,,MODELLED CROSSINGS,RAIL,OBS,PASSABLE,,None,356347583,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723382,,,,,,,,,,,,10,402436,6051897,12094.69898,100.567134.179319.710832,100.567134.179319.710832.287745,STUL,Pinchi Creek,,0,,,,,,2.58,2.58,2.64,2.64,2.64,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024723774,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,Sakeniche FSR,,356356811,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723774,,,,,,,,,,,,9,683956,6139142,39983.77135,100.567134.179319.815989.532920.447917,100.567134.179319.815989.532920.447917.568812,TAKL,Dust Creek,,0,1020001538,1,,,,19.38,9.23,14.86,11.69,21.84,11.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024723780,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,Sakeniche FSR,,356356462,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723780,,,,,,,,,,,,10,322627,6114058,5222.8937,100.567134.179319.815989.532920.446288,100.567134.179319.815989.532920.446288.159717,TAKL,Sakeniche River,,0,,,,,,4.89,4.89,4.85,4.85,4.89,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024723783,,,MODELLED CROSSINGS,RAIL,OBS,PASSABLE,,None,356361497,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723783,,,,,,,,,,,,9,673682,6177434,1451.800193,100.567134.179319.815989.532920.997351,100.567134.179319.815989.532920.997351,TAKL,Bates Creek,,0,,,,,,19.68,19.68,3.55,3.55,19.68,19.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024723784,,,MODELLED CROSSINGS,RAIL,OBS,PASSABLE,,None,356352148,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723784,,,,,,,,,,,,9,678739,6171884,1156.977751,100.567134.179319.815989.532920.947799,100.567134.179319.815989.532920.947799,TAKL,,,0,,,,,,13.84,13.84,2.48,2.48,13.84,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024723785,,,MODELLED CROSSINGS,RAIL,OBS,PASSABLE,,None,356350149,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723785,,,,,,,,,,,,10,327405,6116967,926.4149793,100.567134.179319.815989.532920.457753,100.567134.179319.815989.532920.457753,TAKL,,,0,,,,,,5.54,5.54,2.57,2.57,5.54,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024723786,,,MODELLED CROSSINGS,RAIL,OBS,PASSABLE,,None,356359980,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723786,,,,,,,,,,,,10,311819,6152842,1218.547327,100.567134.179319.815989.532920.767804,100.567134.179319.815989.532920.767804,TAKL,Hudson Bay Creek,,0,,,,,,6.75,6.75,2.92,2.92,6.75,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024723787,,,MODELLED CROSSINGS,RAIL,OBS,PASSABLE,,None,356313591,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723787,,,,,,,,,,,,10,314339,6149942,1317.900854,100.567134.179319.815989.532920.736802,100.567134.179319.815989.532920.736802,TAKL,Maclaing Creek,,0,,,,,,2.81,2.81,2.86,2.86,2.86,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024723788,,,MODELLED CROSSINGS,RAIL,OBS,PASSABLE,,None,356357678,,,,,,,,,,,,,,,,,,,,,,,,,,,,24723788,,,,,,,,,,,,10,324534,6135160,1173.187607,100.567134.179319.815989.532920.601637,100.567134.179319.815989.532920.601637,TAKL,,,0,,,,,,0,0,0.38,0.38,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1024726961,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,,,356362978,,,,,,,,,,,,,,,,,,,,,,,,,,,,24726961,,,,,,,,,,,,10,336230,6063574,20861.71574,100.567134.179319.815989.811324,100.567134.179319.815989.811324.487634,UTRE,Butterfield Creek,,0,,,,,,2.76,2.76,0,0,2.76,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
